"","name","text"
"1","QUIJANO","good evening from longwood university in farmville virginia and welcome to the first and only vice presidential debate of sponsored by the commission on presidential debates"
"2","QUIJANO","im elaine quijano anchor at and correspondent for news its an honor to moderate this debate between senator tim kaine and governor mike pence both are longtime public servants who are also proud fathers of sons serving in the marines"
"3","QUIJANO","the campaigns have agreed to the rules of this minute debate there will be nine different segments covering domestic and foreign policy issues each segment will begin with a question to both candidates who will each have two minutes to answer then ill ask followup questions to facilitate a discussion between the candidates by coin toss its been determined that senator kaine will be first to answer the opening question"
"4","QUIJANO","we have an enthusiastic audience tonight theyve agreed to only express that enthusiasm once at the end of the debate and right now as we welcome governor mike pence and senator tim kaine "
"5","QUIJANO","gentlemen welcome it truly is a privilege to be with both of you tonight"
"6","QUIJANO","id like to start with the topic of presidential leadership twentyeight years ago tomorrow night lloyd bentsen said the vice presidential debate was not about the qualifications for the vice presidency but about how if tragedy should occur the vice president has to step in without any margin for error without time for preparation to take over the responsibility for the biggest job in the world"
"7","QUIJANO","what about your qualities your skills and your temperament equip you to step into that role at a moments notice senator kaine"
"8","KAINE","elaine thank you for being here tonight and governor pence welcome it is so great to be back at longwood university in farmville virginia"
"9","KAINE","this is a very special place sixtyfive years ago a young courageous woman barbara johns led a walkout of her high school moton high school she made history by protesting school segregation she believed our nation was stronger together and that walkout led to the brown v board of education decision that moved us down the path toward equality"
"10","KAINE","i am so proud to be running with another strong historymaking woman hillary clinton to be president of the united states im proud because her vision of stronger together building an economy that works for all not just those at the top being safe in the world not only with a strong military but also strong alliances to battle terrorism and climate change and also to build a community of respect just like barbara johns tried to do years ago thats why im so proud to be her running mate"
"11","KAINE","hillary told me why she asked me to be her running mate she said the test of a clinton administration will not be the signing of a bill or the passage of a bill itll be whether we can make somebodys life better whether we can make a classroom better learning environment for schoolkids or teachers whether we can make a safer its going to be about results"
"12","KAINE","and she said to me youve been a missionary and a civil rights lawyer youve been a city councilman and mayor youve been a lieutenant governor and governor and now a senator i think you will help me figure out how to govern this nation so that we always keep in mind that the success of the administration is the difference we make in peoples lives"
"13","KAINE","and thats what i bring to the ticket that experience having served at all levels of government but my primary role is to be hillary clintons righthand person and strong supporter as she puts together the most historic administration possible and i relish that role im so proud of her"
"14","KAINE","ill just say this we trust hillary clinton my wife and i and we trust her with the most important thing in our life we have a son deployed overseas in the marine corps right now we trust hillary clinton as president and commanderinchief but the thought of donald trump as commanderinchief scares us to death"
"15","QUIJANO","governor pence"
"16","PENCE","well first off thank you elaine and thank you to thank you to norwood university for their wonderful hospitality and the commission on presidential debates its deeply humbling for me to be here to be surrounded by my my wonderful family"
"17","PENCE","and senator kaine its an honor to be here with you as well and i just i also want to say i want to say thanks to everyone thats looking in tonight who understands what an enormously important time this is in the life of our nation"
"18","PENCE","for the last sevenandahalf years weve seen americas place in the world weakened weve seen an economy stifled by more taxes more regulation a war on coal and a failing health care reform come to be known as obamacare and the american people know that we need to make a change and so i want to thank all of you for being being with us tonight"
"19","PENCE","i also want to thank donald trump for making that call and inviting us to be a part of this ticket i have to tell you im a im a smalltown boy from a place not too different from farmville i grew up with a cornfield in my backyard my grandfather had immigrated to this country when he was about my sons age my mom and dad built a everything that matters in a small town in southern indiana they built a family and and a good name and a business and they raised a family and i dreamed some day of representing my home town in washington but i honestly elaine i never imagined never imagined id have the opportunity to be governor of the state that i love let alone be sitting at a table like this in this kind of a position"
"20","PENCE","so to answer your question i would say i i would hope that if if the responsibility ever fell to me in this role that i would meet it with the way that im going to meet the responsibility should i be elected vice president of the united states and thats to bring a lifetime of experience a lifetime growing up in a small town a lifetime where ive served in the congress of the united states where where ive led a state that works in the great state of indiana and whatever other responsibilities might follow from this i i would hope and frankly i would pray to be able to meet that moment with that that lifetime of experience"
"21","QUIJANO","senator kaine on the campaign trail you praised secretary clintons character including her commitment to public service yet percent of voters dont think shes trustworthy why do so many people distrust her is it because they have questions about her emails and the clinton foundation"
"22","KAINE","elaine let me tell you why i trust hillary clinton heres what people should look at as they look at a public servant do they have a passion in their life that showed up before they were in public life and have they held onto that passion throughout their life regardless of whether they were in office or not succeeding or failing"
"23","KAINE","hillary clinton has that passion from a time as a kid in a methodist youth group in the suburbs of chicago she has been focused on serving others with a special focus on empowering families and kids as a civil rights lawyer in the south with the childrens defense fund first lady of arkansas and this country senator secretary of state its always been about putting others first and thats a sharp contrast with donald trump"
"24","KAINE","donald trump always puts himself first he built a business career in the words of one of his own campaign staffers off the backs of the little guy and as a candidate he started his campaign with a speech where he called mexicans rapists and criminals and he has pursued the discredited and really outrageous lie that president obama wasnt born in the united states"
"25","KAINE","it is so painful to suggest that we go back to think about these days where an africanamerican could not be a citizen of the united states and i cant imagine how governor pence can defend the insult driven selfish me first style of donald trump"
"26","QUIJANO","governor pence let me ask you you have said donald trump is quote thoughtful compassionate and steady yet percent of voters feel he is a risky choice and percent feel he does not have the right kind of temperament to be president why do so many americans think mr trump is simply too erratic"
"27","PENCE","well let me let me say first and foremost that senator you and hillary clinton would know a lot about an insult driven campaign it really is remarkable at a time when literally in the wake of hillary clintons tenure as secretary of state where she was the architect of the obama administrations foreign policy we see entire portions of the world particularly the wider middle east literally spinning out of control i mean the situation were watching hour by hour in syria today is the result of the failed foreign policy and the weak foreign policy that hillary clinton helped lead in this administration and create the newly emboldened the aggression of russia whether it was in ukraine or now theyre heavyhanded approach"
"28","KAINE","you guys love russia you both have said"
"29","PENCE","their heavyhanded approach"
